Time,data
1608462036.2773106,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 20}"
1608462036.2842977,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 1, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 21}"
1608462036.29555,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 22}"
1608462036.304861,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 23}"
1608462036.3146641,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 24}"
1608462036.3254483,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 25}"
1608462036.334914,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 1, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 26}"
1608462036.3451076,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 27}"
1608462036.3555965,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 28}"
1608462036.36475,"{'Stat_Byte0_GPS_Mode': 1, 'Stat_Byte0_Standstill': 1, 'Stat_Byte0_Skidding': 0, 'Stat_Byte0_External_Vel_Out': 0, 'Stat_Byte1_Trig_GPS': 0, 'Stat_Byte1_Signal_IN3': 0, 'Stat_Byte1_Signal_IN2': 0, 'Stat_Byte1_Signal_IN1': 0, 'Stat_Byte1_Alignment': 0, 'Stat_Byte1_AHRS_INS': 1, 'Stat_Byte1_Deadreckoning': 0, 'Stat_Byte1_SyncLock': 1, 'Stat_Byte2_EVK_activ': 0, 'Stat_Byte2_EVK_Estimates': 0, 'Stat_Byte2_Tilt': 0, 'Stat_Byte2_Pos': 0, 'Stat_Byte3_Count': 29}"
