Time,x,y,z,w
1610057133.668151,0.0,1.0,0.0,0.0
1610057134.1231887,0.0,1.0,0.0,0.0
1610057134.5743382,0.0,1.0,0.0,0.0
1610057135.0132139,0.0,1.0,0.0,0.0
1610057135.461572,0.0,1.0,0.0,0.0
1610057135.9129999,0.0,1.0,0.0,0.0
1610057136.3625596,0.0,1.0,0.0,0.0
1610057136.8292751,0.0,1.0,0.0,0.0
1610057137.264646,0.0,1.0,0.0,0.0
1610057137.7217546,0.0,1.0,0.0,0.0
1610057138.1635528,0.0,1.0,0.0,0.0
1610057138.6108108,0.0,1.0,0.0,0.0
1610057139.0460448,0.0,1.0,0.0,0.0
1610057139.4887629,0.0,1.0,0.0,0.0
1610057139.9400282,0.0,1.0,0.0,0.0
1610057140.3762615,0.0,1.0,0.0,0.0
1610057140.8100786,0.0,1.0,0.0,0.0
1610057141.2516596,0.0,1.0,0.0,0.0
1610057141.6927233,0.0,1.0,0.0,0.0
1610057142.1315405,0.0,1.0,0.0,0.0
1610057142.5728066,0.0,1.0,0.0,0.0
1610057143.0116963,0.0,1.0,0.0,0.0
1610057143.4610882,0.0,1.0,0.0,0.0
1610057143.886608,0.0,1.0,0.0,0.0
1610057144.3260882,0.0,1.0,0.0,0.0
1610057144.7604437,0.0,1.0,0.0,0.0
1610057145.205286,0.0,1.0,0.0,0.0
1610057145.6619613,0.0,1.0,0.0,0.0
1610057146.0880475,0.0,1.0,0.0,0.0
1610057146.5278358,0.0,1.0,0.0,0.0
1610057146.9672158,0.0,1.0,0.0,0.0
1610057147.4122546,0.0,1.0,0.0,0.0
1610057147.8857484,0.0,1.0,0.0,0.0
1610057148.3415186,0.0,1.0,0.0,0.0
1610057148.7894318,0.0,1.0,0.0,0.0
1610057149.2251067,0.0,1.0,0.0,0.0
1610057149.6812754,0.0,1.0,0.0,0.0
1610057150.1513896,0.0,1.0,0.0,0.0
1610057150.5906277,0.0,1.0,0.0,0.0
1610057151.0568311,0.0,1.0,0.0,0.0
1610057151.5033937,0.0,1.0,0.0,0.0
1610057151.962637,0.0,1.0,0.0,0.0
1610057152.4042897,0.0,1.0,0.0,0.0
1610057152.8668842,0.0,1.0,0.0,0.0
1610057153.313578,0.0,1.0,0.0,0.0
1610057153.7760458,0.0,1.0,0.0,0.0
1610057154.237205,0.0,1.0,0.0,0.0
1610057154.6829991,0.0,1.0,0.0,0.0
1610057155.1270459,0.0,1.0,0.0,0.0
1610057155.561045,0.0,1.0,0.0,0.0
1610057156.0082583,0.0,1.0,0.0,0.0
1610057156.4533048,0.0,1.0,0.0,0.0
1610057156.8970153,0.0,1.0,0.0,0.0
1610057157.3321521,0.0,1.0,0.0,0.0
1610057157.773362,0.0,1.0,0.0,0.0
1610057158.2437725,0.0,1.0,0.0,0.0
1610057158.7072322,0.0,1.0,0.0,0.0
1610057159.1505082,0.0,1.0,0.0,0.0
1610057159.5870256,0.0,1.0,0.0,0.0
1610057160.0332634,0.0,1.0,0.0,0.0
1610057160.4709923,0.0,1.0,0.0,0.0
1610057160.9126267,0.0,1.0,0.0,0.0
