Time,seq,stamp.secs,stamp.nsecs,frame_id,can_id,type_col_0,type_col_1,type_col_2,type_col_3,value_0,value_1,value_2,value_3
1610059931.0781913,140067,1608659050,746128739,,182,In_Stddev_Lat,In_Stddev_Long,,,0.4699999988079071,0.4699999988079071,0.0,0.0
1610059931.1092627,140067,1608659050,746128739,,182,In_Stddev_Lat,In_Stddev_Long,,,0.4699999988079071,0.4699999988079071,0.0,0.0
1610059931.1181588,140382,1608659050,854330059,,141,GPS_Lat,,,,48.4575309753418,0.0,0.0,0.0
1610059931.1195424,140383,1608659050,854448627,,142,GPS_Lat_Rel,,,,-6.619999885559082,0.0,0.0,0.0
1610059931.1195946,140384,1608659050,854565275,,143,GPS_Stddev_Lat,GPS_Stddev_Long,,,2.6489999294281006,2.6489999294281006,0.0,0.0
1610059931.1252537,140385,1608659050,854685956,,144,GPS_VXF,GPS_VYF,GPS_VZF,,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,0.0
1610059931.1291804,140386,1608659050,854805196,,145,GPS_Stddev_VXF,GPS_Stddev_VYF,,,0.20000000298023224,0.20000000298023224,0.0,0.0
1610059931.1335835,140387,1608659050,854919028,,146,GPS_Time_Millisec,GPS_Time_Week,,,236650752.0,236650752.0,0.0,0.0
1610059931.1359282,140388,1608659050,855046045,,147,GPS_Aux_Diff_age,GPS_Aux_Sats_Used,,,0.0,0.0,0.0,0.0
1610059931.143765,140388,1608659050,855046045,,147,GPS_Aux_Diff_age,GPS_Aux_Sats_Used,,,0.0,0.0,0.0,0.0
1610059931.1449556,140390,1608659050,855288174,,150,GPS_Height,,,,166.25999450683594,0.0,0.0,0.0
1610059931.144995,140390,1608659050,855288174,,150,GPS_Height,,,,166.25999450683594,0.0,0.0,0.0
1610059931.1873553,140390,1608659050,855288174,,150,GPS_Height,,,,166.25999450683594,0.0,0.0,0.0
1610059931.218427,140390,1608659050,855288174,,150,GPS_Height,,,,166.25999450683594,0.0,0.0,0.0
1610059931.2243102,140390,1608659050,855288174,,150,GPS_Height,,,,166.25999450683594,0.0,0.0,0.0
1610059931.228307,140390,1608659050,855288174,,150,GPS_Height,,,,166.25999450683594,0.0,0.0,0.0
1610059931.2392461,140522,1608659050,903135819,,103,AXB_HR,,,,0.14579999446868896,0.0,0.0,0.0
1610059931.2392886,140523,1608659050,903308759,,104,AYB_HR,,,,-0.13740000128746033,0.0,0.0,0.0
1610059931.2394047,140524,1608659050,903378716,,105,AZB_HR,,,,0.9631999731063843,0.0,0.0,0.0
1610059931.239452,140524,1608659050,903378716,,105,AZB_HR,,,,0.9631999731063843,0.0,0.0,0.0
1610059931.2448683,140526,1608659050,903618509,,107,RXH,RYH,,,158.44000244140625,158.44000244140625,0.0,0.0
1610059931.2465312,140526,1608659050,903618509,,107,RXH,RYH,,,158.44000244140625,158.44000244140625,0.0,0.0
1610059931.251261,140526,1608659050,903618509,,107,RXH,RYH,,,158.44000244140625,158.44000244140625,0.0,0.0
1610059931.2560954,140828,1608659051,3852326,,109,AXH,AYH,,,-0.09040000289678574,-0.09040000289678574,0.0,0.0
1610059931.262021,140829,1608659051,3976654,,123,AXH_POI7,AYH_POI7,,,-0.09040000289678574,-0.09040000289678574,0.0,0.0
1610059931.2643347,140830,1608659051,4100151,,130,Inv_Path_Radius,Side_Slip_Angle,,,0.0,0.0,0.0,0.0
1610059931.2687058,140831,1608659051,4211615,,140,Sys_Ta,Sys_Temp,Sys_TimeSinceInit,,10000.0,10000.0,10000.0,0.0
1610059931.2687361,140832,1608659051,4332679,,141,GPS_Lat,,,,48.4575309753418,0.0,0.0,0.0
1610059931.2718635,140833,1608659051,4449999,,142,GPS_Lat_Rel,,,,-6.619999885559082,0.0,0.0,0.0
1610059931.2749753,140834,1608659051,4631228,,143,GPS_Stddev_Lat,GPS_Stddev_Long,,,2.6489999294281006,2.6489999294281006,0.0,0.0
1610059931.2780612,140835,1608659051,4687264,,144,GPS_VXF,GPS_VYF,GPS_VZF,,-0.009999999776482582,-0.009999999776482582,-0.009999999776482582,0.0
1610059931.2811825,140836,1608659051,4813929,,145,GPS_Stddev_VXF,GPS_Stddev_VYF,,,0.20000000298023224,0.20000000298023224,0.0,0.0
