Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1616008203.9713988,1,1616008203,963955328,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008203.9785469,2,1616008203,974596032,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008203.9879432,3,1616008203,985368416,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008203.9972086,4,1616008203,995193792,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0080802,5,1616008204,4086752,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0166564,6,1616008204,14478560,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0277395,7,1616008204,24016480,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0393393,8,1616008204,34043232,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0479631,9,1616008204,43934688,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.057419,10,1616008204,53945984,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0678697,11,1616008204,63941280,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0772462,12,1616008204,74042816,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0866838,13,1616008204,84012480,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.0969718,14,1616008204,94271488,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.108208,15,1616008204,103990720,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1182933,16,1616008204,113948384,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.128242,17,1616008204,123962016,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1384907,18,1616008204,136384608,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1470847,19,1616008204,144004576,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1563509,20,1616008204,153952448,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1672084,21,1616008204,163988128,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1764774,22,1616008204,173923072,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.1874516,23,1616008204,183927584,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1616008204.197499,24,1616008204,194012352,,0,0,48.599999999999994,7.8999999,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
